0 "LIMITE 20 km/h"
1 "LIMITE 30 km/h"
2 "LIMITE 50 km/h"
3 "LIMITE 60 km/h"
4 "LIMITE 70 km/h"
5 "LIMITE 80 km/h"
6 "FIM LIMITE 80 km/h"
7 "LIMITE 100 km/h"
8 "LIMITE 120 km/h"
9 "PROIBIDO ULTRAPASSAR"
10 "PROIBIDO ULTRAPASSAGEM PARA CAMINHÕES"
11 "CRUZAMENTO COM VIA SEM PRIORIDADE"
12 "VIA COM PRIORIDADE"
13 "CEDÊNCIA DE PASSAGEM"
14 "PARAGEM OBRIGATÓRIA NO CRUZAMENTO OU ENTRONCAMENTO"
15 "TRÂNSITO PROIBIDO"
16 "TRÂNSITO PROIBIDO A AUTOMÓVEIS DE MERCADORIAS"
17 "SENTIDO PROIBIDO"
18 "OUTROS PERIGOS"
19 "CURVA À ESQUERDA"
20 "CURVA À DIREITA"
21 "CURVA À ESQUERDA E CONTRACURVA"
22 "LOMBA OU DEPRESSÃO"
23 "PAVIMENTO ESCORREGADIO"
24 "PASSAGEM ESTREITA"
25 "TRABALHOS NA VIA"
26 "SINALIZAÇÃO LUMINOSA"
27 "TRAVESSIA DE PEÕES"
28 "CRIANÇAS "
29 "SAÍDA DE CICLISTAS"
30 "NEVE OU GELO"
31 "ANIMAIS SELVAGENS"
32 "FIM DE TODAS AS PROIBIÇÕES IMPOSTAS ANTERIORMENTE POR SINALIZAÇÃO A VEÍCULOS EM MARCHA"
33 "SENTIDO OBRIGATÓRIO DIREITA"
34 "SENTIDO OBRIGATÓRIO ESQUERDA"
35 "SENTIDO OBRIGATÓRIO FRENTE"
36 "SENTIDOS OBRIGATÓRIOS POSSÍVEIS FRENTE DIREITA"
37 "SENTIDOS OBRIGATÓRIOS POSSÍVEIS FRENTE ESQUERDA"
38 "OBRIGAÇÃO DE CONTORNAR A PLACA OU OBSTÁCULO DIREITA"
39 "OBRIGAÇÃO DE CONTORNAR A PLACA OU OBSTÁCULO ESQUERDA"
40 "ROTUNDA "
41 "FIM DA PROIBIÇÃO DE ULTRAPASSAR"
42 "FIM DA PROIBIÇÃO DE ULTRAPASSAR PARA AUTOMÓVEIS PESADOS"
